confirm :1
confirmd :2
confronted :1
confounds :1
confound :2
corporal :2
contend :3
consequence :2
consent :1
confused :1
confusion :2
conjure :1
construction :1
consider :1
consequences :1
constancy :1
consort :1
considerd :1
conspirers :1
constrained :1
continue :2
content :2
contending :1
contented :1
continent :1
continually :1
convince :1
contradict :1
contriver :1
convey :1
convert :1
copys :1
cool :2
convinces :1
coold :1
corner :1
corn :1
countrys :4
could :14
counselld :1
couldst :2
council :1
counterfeit :1
countenance :1
counsellors :1
country :8
countryman :1
coursed :1
couriers :1
courage :3
course :2
court :5
cracks :1
cousins :3
coward :2
coveted :1
crack :1
coz :1
cowd :1
cry :9
craves :1
cradle :1
crave :1
cries :4
creation :1
craving :1
crazed :1
create :1
creamfaced :1
crickets :1
cribbd :1
crew :1
creeps :1
crests :1
cried :4
crown :6
croaks :1
crime :1
crossd :1
crow :1
crownd :2
cruelty :2
cruel :4
crowns :1
crowned :1
curbing :1
cumberland :2
crying :1
damnation :1
daggers :7
cursed :2
curs :1
cure :3
cures :1
curse :2
dagger :3
curtaind :1
curses :1
cut :3
custom :2
cutthroats :1
cyme :1
dainty :1
dame :1
dam :1
dames :1
damn :1
damnd :3
deign :1
deceive :1
death :20
day :18
darkness :2
dark :5
dare :13
danger :2
dance :1
dangerous :1
dares :3
dareful :1
dashd :1
dauntless :1
daughters :1
dearest :5
dead :14
days :8
dear :4
deal :1
deadly :1
deaf :1
deaths :1
deceitful :1
debt :1
defence :2
deepest :1
deep :6
deed :15
dedicate :1
decision :1
deeds :3
deeper :1
defect :1
deeply :1
deer :1
degrees :1
deftly :1
deliver :1
delicate :1
delight :2
delinquents :1
delights :1
descended :1
demiwolves :1
delivers :1
demand :1
demerits :1
denies :1
denyt :1
deny :2
depart :1
descends :3
didst :4
deserves :2
deserved :2
deserve :1
deservers :1
did :41
devil :7
desires :1
desire :7
design :1
desired :1
destroy :2
destiny :1
desolate :1
despair :2
despise :1
destruction :2
destroying :1
detraction :1
diamond :1
devils :1
devilporter :1
devilish :1
devour :1
devotion :1
dew :1
do :83
disdaining :1
direful :1
die :5
died :7
dignities :1
dies :2
digestion :1
diggd :1
dire :2
diminutive :1
dignity :1
direction :2
directly :1
discomfort :2
disbursed :1
direst :1
direness :1
disasters :1
discharge :1
discovery :1
dismayd :1
disloyal :1
dishes :1
disheartens :1
disguising :1
disgrace :2
disease :3
diseased :1
disjoint :1
dishonours :1
dismal :3
dispatch :2
disorder :1
dismiss :1
divers :1
distracted :1
distinguishes :1
distance :2
dispatchd :1
displaced :1
disposition :1
dispute :1
disseat :1
distilld :1
distemperd :1
ditch :1
distresses :1
ditchdeliverd :1
division :1
divine :1
dollars :1
doing :2
does :24
dogs :2
dog :1
doff :1
domestic :1
dolour :1
done :36
doubtful :2
double :11
doth :6
dost :3
door :5
donet :2
dooms :1
doom :1
doors :1
dothell :1
doubly :1
doubt :4
drain :1
down :16
doubts :2
downy :1
downfalln :1
dragon :1
drab :1
duncan :35
dry :1
drum :8
dress :1
drenched :1
dreamt :1
draw :3
dreams :2
drawn :1
dreadful :2
dread :1
drops :1
dressd :1
drink :8
drop :3
droop :1
drown :2
druggd :1
drowsy :1
drowse :1
drug :1
drunk :2
dull :1
due :4
dudgeon :1
dues :1
duff :1
king :33
his :147
generals :1
fleance :16
earl :1
eagles :1
dwindle :1
duties :5
dunnest :1
duncans :3
durst :1
dunsinane :14
dusty :1
dwell :1
dwarfish :1
each :13
dying :1
ear :5
english :8
england :10
earth :7
earnest :2
earls :1
ears :2
eaten :2
easy :3
easier :1
earthbound :1
earthly :1
east :1
eat :3
enfold :1
eldest :1
effect :1
ecstasy :2
eclipse :1
echo :1
edward :1
edge :2
eer :1
either :2
eight :1
egg :1
effects :1
eighth :1
else :11
endall :1
em :5
elves :1
embrace :1
eminence :1
encounter :1
enchanting :1
empty :1
emptying :1
end :3
enemy :4
ends :2
endure :2
first :59
enter :65
enkindle :1
enough :8
enow :2
enrages :1
enrage :1
ere :12
entrance :2
enterprise :1
entomb :1
enters :1
entrails :1
entreat :1
entry :1
equivocator :3
equivocate :1
epicures :1
equivocates :1
equivocation :1
fair :6
exeunt :33
execution :3
except :1
every :16
even :11
establish :1
especially :1
escapes :1
err :1
estate :2
esteemst :1
esteem :2
eternal :2
eterne :1
ever :10
evenhanded :1
events :1
event :1
everlasting :1
evergentle :1
exasperate :1
evils :2
evil :1
excite :1
faced :1
exit :23
exiled :1
eyes :11
eye :11
expectation :2
expedition :1
exposure :1
exploits :1
expire :1
expense :1
extend :1
eyeballs :1
face :10
faint :1
faculties :1
faces :5
fact :1
fail :4
faild :1
fain :1
filthy :3
farewell :4
fan :1
fall :6
fairest :1
fairer :1
faith :5
fairies :1
falcon :1
faithful :1
faithbreach :1
false :9
falls :1
falln :1
famine :2
familiar :1
far :5
fantastical :2
fancies :2
fare :3
fife :6
fell :8
fear :35
favours :1
favour :2
fate :6
fatal :4
farmer :1
farrow :1
fast :3
father :14
fathers :2
fatherd :1
fatherless :1
fears :8
feard :1
fearful :1
fed :1
feat :1
feast :5
feasts :1
feel :4
feed :3
feegrief :1
feeling :1
feet :2
fellows :2
fellow :2
feverous :1
fever :1
fenny :1
felt :1
few :1
fie :2
fiend :2
field :4
fiends :1
fiendlike :1
fight :12
fill :5
filed :1
file :3
fighting :1
filling :1
fillet :1
finger :2
finds :2
find :11
finding :1
fires :1
fire :5
firmset :1
firm :2
fixd :1
fitness :1
fitful :1
fit :4
firstlings :2
fits :1
flattering :1
flame :1
flaws :1
general :5
forces :1
fog :1
foe :1
flout :1
flourish :5
fled :7
flight :4
flies :1
flesh :1
flighty :1
float :1
flower :2
flung :1
flown :1
flowers :1
fly :12
flying :1
foes :2
for :109
follows :1
foggy :1
following :2
foisons :1
fold :1
fools :3
foolish :1
folly :2
fool :3
foot :2
forbid :2
force :1
forced :1
foul :5
forres :6
former :5
forgotten :2
foreign :1
forget :1
forest :2
forge :1
forgive :2
forgot :1
form :1
fork :1
fought :2
fortune :7
forth :8
fort :3
forsworn :1
fortitude :1
fortifies :1
gainst :4
friend :5
fresh :1
free :5
frankly :1
franchised :1
fountain :1
found :3
foully :1
founded :1
foundations :1
frailties :1
fourth :1
frame :1
freely :1
french :1
frets :2
from :56
friends :10
frieze :1
frog :1
fright :1
furbishd :1
function :1
full :9
fruitless :1
front :3
fry :1
fulness :1
fume :1
further :10
furious :1
future :1
fury :3
gain :2
gains :1
gallowglasses :1
gall :2
galloping :1
gashes :3
garments :1
gap :1
gashd :1
gash :1
gave :2
gate :4
geese :1
gaze :1
gentlewoman :13
gentlemen :5
gentleman :3
gentle :5
genius :1
hecate :8
heath :4
graymalkin :1
good :51
gins :1
get :9
germens :1
gentry :1
gently :1
ghost :6
gild :1
gift :2
gibbet :1
giants :1
ghosts :1
gin :2
golgotha :1
go :26
give :24
girl :1
glamis :8
given :8
gladly :1
gives :4
giving :1
gloss :1
glimmers :1
glare :1
glass :2
glory :1
god :14
goat :1
golden :4
goes :7
gods :3
going :2
goest :1
goldbound :1
gone :9
grace :10
gouts :1
goodnight :1
goodness :2
